Pathogen Species,GA,species,GA,size,gc,genes
Gyrovirus fulgla1,GCF_001045285.1,Gyrovirus fulgla1,GCF_001045285.1,2218.0,49.5,3
Gyrovirus galga1,GCF_000891935.1,Gyrovirus galga1,GCF_000891935.1,2383.0,53.5,3
Gyrovirus homsa1,,Gyrovirus homsa1,,,,
Gyrovirus homsa2,,Gyrovirus homsa2,,,,
Gyrovirus homsa3,,Gyrovirus homsa3,,,,
Gyrovirus hydho1,GCF_004134085.1,Gyrovirus hydho1,GCF_004134085.1,2394.0,53,4
Gyrovirus myferr1,GCF_018583945.1,Gyrovirus myferr1,GCF_018583945.1,1873.0,54.5,3
Halley virus,0,Halley virus,,,,
Halvorsen virus,0,Halvorsen virus,,,,
Hapavirus flanders,0,Hapavirus flanders,GCF_002815595.1,13038.0,37,9
Hapavirus landjia,GCF_002146145.1,Hapavirus landjia,GCF_002146145.1,13695.0,37,11
Harkavirus A,GCF_000981755.1,Harkavirus A,GCF_000981755.1,8003.0,42,1
Hawaiian goose poxvirus,0,Hawaiian goose poxvirus,,,,
Hawfinch circovirus,,Hawfinch circovirus,,,,
Hedwig virus,,Hedwig virus,,,,
Hepacivirus Q,,Hepacivirus Q,GCA_031315615.1,9893.0,45,
Hepacivirus sp.,,Hepacivirus sp.,GCA_031173525.1,8675.0,46.5,
Hepatitis B virus,0,Hepatitis B virus,GCF_003033055.1,3248.0,48.5,4
Hepatitis E virus,0,Hepatitis E virus,,,,
Hepeviridae sp.,0,Hepeviridae sp.,,,,
Heron hepatitis B virus,0,Heron hepatitis B virus,GCF_000861965.1,3027.0,45,5
Herpesvirus eupittula14478,,Herpesvirus eupittula14478,,,,
Herpesvirus goose/GAV08/Poland/2008,0,Herpesvirus goose/GAV08/Poland/2008,,,,
Highlands J virus,GCF_000881255.1,Highlands J virus,GCF_000881255.1,11526.0,49,3
Hilary virus,0,Hilary virus,,,,
Houbara coronavirus UAE-HKU28,0,Houbara coronavirus UAE-HKU28,GCA_031171225.1,26155.0,39.5,10
Huchismacovirus chicas1,GCF_003033445.1,Huchismacovirus chicas1,GCF_003033445.1,2408.0,42,2
Huchismacovirus chicas2,GCF_003033465.1,Huchismacovirus chicas2,GCF_003033465.1,2459.0,42.5,2
Huchismacovirus sp.,,Huchismacovirus sp.,GCA_031242685.1,2459.0,42,
Human mastadenovirus F,0,Human mastadenovirus F,GCF_000846685.1,34214.0,51,18
IC4 retrovirus,0,IC4 retrovirus,,,,
Iltovirus gallidalpha1,GCF_008787145.1,Iltovirus gallidalpha1,GCF_008787145.1,152975.0,48,79
Iltovirus psittacidalpha1,GCF_000840765.1,Iltovirus psittacidalpha1,GCF_000840765.1,163025.0,61,77
Iltovirus psittacidalpha5,GCF_029884945.1,Iltovirus psittacidalpha5,GCF_029884945.1,120899.0,43.5,81
JDV virus,0,JDV virus,,,,
Java sparrow circovirus,,Java sparrow circovirus,,,,
Jingmen ascaridia virus 1,0,Jingmen ascaridia virus 1,,,,
Jingmen birna-like virus,0,Jingmen birna-like virus,,,,
Jingmen bunya-like virus 1,0,Jingmen bunya-like virus 1,,,,
Jingmen picobirna-like virus 1,0,Jingmen picobirna-like virus 1,,,,
Jingmen picorna-like virus,GCF_001961255.1,Jingmen picorna-like virus,GCF_001961255.1,10069.0,43.5,1
Jingmen tombus-like virus 1,GCF_002008755.1,Jingmen tombus-like virus 1,GCF_002008755.1,7949.0,57,2
Jingmen tombus-like virus 2,GCF_002004055.1,Jingmen tombus-like virus 2,GCF_002004055.1,4100.0,48.5,3
Jingmen toti-like virus 1,0,Jingmen toti-like virus 1,,,,
Justusliebigvirus phi92,0,Justusliebigvirus phi92,,,,
Kagge virus,0,Kagge virus,,,,
Kammavanpettai virus,0,Kammavanpettai virus,,,,
Kannamangalam virus,0,Kannamangalam virus,,,,
Kedah fatal kidney syndrome virus,0,Kedah fatal kidney syndrome virus,,,,
Kestrel picornavirus,0,Kestrel picornavirus,,,,
Ketchum virus,0,Ketchum virus,,,,
Khabarov virus,0,Khabarov virus,,,,
Khurdivirus volgaense,GCF_023156525.1,Khurdivirus volgaense,GCF_023156525.1,10679.0,36,3
Kittiwake papillomavirus 1,0,Kittiwake papillomavirus 1,,,,
Kittiwake papillomavirus 2,0,Kittiwake papillomavirus 2,GCA_031189345.1,7763.0,56.5,7
Kittiwake papillomavirus 3,0,Kittiwake papillomavirus 3,,,,
Kittiwake papillomavirus 4,0,Kittiwake papillomavirus 4,,,,
Kittiwake papillomavirus 5,0,Kittiwake papillomavirus 5,,,,
Kittiwake papillomavirus 6,0,Kittiwake papillomavirus 6,,,,
Kittiwake papillomavirus 7,0,Kittiwake papillomavirus 7,,,,
Kornilov virus,0,Kornilov virus,,,,
Korotkevich virus,0,Korotkevich virus,,,,
Krenkel virus,0,Krenkel virus,,,,
Kunsagivirus A,GCF_002817165.1,Kunsagivirus A,GCF_002817165.1,7272.0,53,1
Kyst virus,0,Kyst virus,,,,
Lambdatorquevirus phoci5,0,Lambdatorquevirus phoci5,,,,
Lanius cristatus parvoviridae sp.,,Lanius cristatus parvoviridae sp.,,,,
Larsen virus,0,Larsen virus,,,,
Larus argentatus herpesvirus,,Larus argentatus herpesvirus,,,,
Larus ridibundus coronavirus,,Larus ridibundus coronavirus,,,,
Lavender waxbill polyomavirus,,Lavender waxbill polyomavirus,,,,
Lawrence virus,0,Lawrence virus,,,,
Lazarev virus,0,Lazarev virus,,,,
Leucosticte brandti pegivirus,,Leucosticte brandti pegivirus,GCA_031246675.1,10719.0,57.5,
Little bittern circovirus,,Little bittern circovirus,GCA_031310635.1,1935.0,49,
Loch Leven virus,,Loch Leven virus,,,,
Lonchura striata deltavirus,,Lonchura striata deltavirus,GCA_031232885.1,1708.0,56,1
Lophura nycthemera aveparvovirus,,Lophura nycthemera aveparvovirus,,,,
Lophura nycthemera parvoviridae sp.,,Lophura nycthemera parvoviridae sp.,,,,
Ludopivirus A,GCF_004131145.1,Ludopivirus A,GCF_004131145.1,8051.0,47.5,1
Luncke virus,0,Luncke virus,,,,
Luscinia calliope CRESS-DNA-virus sp.,,Luscinia calliope CRESS-DNA-virus sp.,,,,
Luscinia cyane CRESS-DNA-virus sp.,,Luscinia cyane CRESS-DNA-virus sp.,,,,
Luscinia cyane Chaphamaparvovirus,,Luscinia cyane Chaphamaparvovirus,,,,
Luscinia cyane Ichthamaparvovirus,,Luscinia cyane Ichthamaparvovirus,,,,
Luscinia cyane parvoviridae sp.,,Luscinia cyane parvoviridae sp.,,,,
Luscinia sibilans CRESS-DNA-virus sp.,,Luscinia sibilans CRESS-DNA-virus sp.,,,,
Luscinia sibilans parvo-like hybrid virus,,Luscinia sibilans parvo-like hybrid virus,,,,
Luscinia sibilans parvoviridae sp.,,Luscinia sibilans parvoviridae sp.,,,,
Luteoviridae sp.,,Luteoviridae sp.,,,,
Lymphoproliferative disease virus,,Lymphoproliferative disease virus,GCA_031102365.1,7432.0,53.5,
Lyssavirus australis,0,Lyssavirus australis,GCF_000850325.1,11822.0,44,5
Lyssavirus rabies,0,Lyssavirus rabies,GCF_000859625.1,11932.0,45,5
MLV-related retrovirus,0,MLV-related retrovirus,,,,
Magellan virus,0,Magellan virus,,,,
Magpie circovirus,,Magpie circovirus,,,,
Magpie hepacivirus,,Magpie hepacivirus,,,,
Magpie-robin coronavirus HKU18,GCF_000894435.1,Magpie-robin coronavirus HKU18,GCF_000894435.1,26689.0,46.5,9
Magpiepox virus,0,Magpiepox virus,GCA_031198355.1,293226.0,29.5,352
Magpiepox virus 2,,Magpiepox virus 2,GCA_031268825.1,298392.0,29.5,
Maksutov virus,0,Maksutov virus,,,,
Malazfec virus 1,,Malazfec virus 1,GCA_036760835.1,39041.0,34.5,
Malazfec virus 10,,Malazfec virus 10,,,,
Malazfec virus 11,,Malazfec virus 11,,,,
Malazfec virus 12,,Malazfec virus 12,,,,
Malazfec virus 13,,Malazfec virus 13,,,,
Malazfec virus 14,,Malazfec virus 14,,,,
Malazfec virus 15,,Malazfec virus 15,,,,
Malazfec virus 16,,Malazfec virus 16,,,,
Malazfec virus 17,,Malazfec virus 17,,,,
Malazfec virus 18,,Malazfec virus 18,,,,
Malazfec virus 19,,Malazfec virus 19,,,,
Malazfec virus 20,,Malazfec virus 20,,,,
Malazfec virus 21,,Malazfec virus 21,,,,
Malazfec virus 22,,Malazfec virus 22,,,,
Malazfec virus 23,,Malazfec virus 23,,,,
Malazfec virus 24,,Malazfec virus 24,,,,
Malazfec virus 25,,Malazfec virus 25,,,,
Malazfec virus 9,,Malazfec virus 9,,,,
Marcaroli circovirus,,Marcaroli circovirus,,,,
Mardivirus anatidalpha1,GCF_000885795.1,Mardivirus anatidalpha1,GCF_000885795.1,158091.0,45,77
Mardivirus columbidalpha1,GCF_002116095.1,Mardivirus columbidalpha1,GCF_002116095.1,204237.0,61.5,130
Mardivirus gallidalpha2,GCF_000846265.1,Mardivirus gallidalpha2,GCF_000846265.1,177874.0,44,87
Mardivirus gallidalpha3,GCF_008792185.1,Mardivirus gallidalpha3,GCF_008792185.1,165994.0,53.5,124
Mardivirus meleagridalpha1,GCF_000839725.1,Mardivirus meleagridalpha1,GCF_000839725.1,159160.0,47.5,79
Mardivirus spheniscidalpha1,GCF_001974335.1,Mardivirus spheniscidalpha1,GCF_001974335.1,164540.0,45.5,86
Marr virus,0,Marr virus,,,,
Mason Creek virus,0,Mason Creek virus,,,,
Mawson virus,0,Mawson virus,,,,
Mayaro virus,,Mayaro virus,GCF_000863385.1,11411.0,50.5,4
Maypo virus,,Maypo virus,,,,
Megrivirus A,GCF_002008395.1,Megrivirus A,GCF_002008395.1,10101.0,46,1
Megrivirus B,GCF_003028975.1,Megrivirus B,GCF_003028975.1,9101.0,47.5,1
Megrivirus C,GCF_003029035.1,Megrivirus C,GCF_003029035.1,9560.0,45,1
Megrivirus D,GCF_002184175.1,Megrivirus D,GCF_002184175.1,8541.0,45.5,1
Megrivirus E,GCF_003029615.1,Megrivirus E,GCF_003029615.1,9702.0,43,1
Megrivirus sp.,,Megrivirus sp.,GCA_031242715.1,9184.0,47.5,
Meldvirus gallus11737,,Meldvirus gallus11737,,,,
Meleagrid alphaherpesvirus 2,,Meleagrid alphaherpesvirus 2,,,,
Melegrivirus A,GCF_000917935.1,Melegrivirus A,GCF_000917935.1,9739.0,45.5,1
Mella virus,0,Mella virus,,,,
Metaavulavirus delawarense,GCF_002815215.1,Metaavulavirus delawarense,GCF_002815215.1,15342.0,41.5,6
Metaavulavirus falklandense,GCF_002080355.1,Metaavulavirus falklandense,GCF_002080355.1,15456.0,42,6
Metaavulavirus galliense,GCF_000924755.1,Metaavulavirus galliense,GCF_000924755.1,17412.0,39,7
Metaavulavirus hongkongense,GCF_002815195.1,Metaavulavirus hongkongense,GCF_002815195.1,16236.0,46.5,7
Metaavulavirus japanense,GCF_003032665.1,Metaavulavirus japanense,GCF_003032665.1,15444.0,43.5,6
Metaavulavirus kazakhstanense,GCF_004130815.1,Metaavulavirus kazakhstanense,GCF_004130815.1,15954.0,40,6
Metaavulavirus kunitachiense,GCF_000924655.1,Metaavulavirus kunitachiense,GCF_000924655.1,17262.0,40,6
Metaavulavirus peixense,GCF_002197575.1,Metaavulavirus peixense,GCF_002197575.1,14964.0,40.5,6
Metaavulavirus sp.,,Metaavulavirus sp.,,,,
Metaavulavirus taiwanense,,Metaavulavirus taiwanense,,,,
Metaavulavirus tennessense,GCF_000926535.1,Metaavulavirus tennessense,GCF_000926535.1,15480.0,39,6
Metaavulavirus yucaipaense,GCF_002989675.1,Metaavulavirus yucaipaense,GCF_002989675.1,14904.0,47,6
Metapneumovirus avis,,Metapneumovirus avis,,,,
Microbacterium phage P8_2022_SA,,Microbacterium phage P8_2022_SA,,,,
Middelburg virus,,Middelburg virus,GCF_000921735.1,11550.0,53,2
Montifringilla taczanowskii coronavirus N,,Montifringilla taczanowskii coronavirus N,,,,
Montifringilla taczanowskii pegivirus,,Montifringilla taczanowskii pegivirus,GCA_031246695.1,10866.0,57,
Morbillivirus canis,,Morbillivirus canis,,,,
Mosavirus A,GCF_000918135.1,Mosavirus A,GCF_000918135.1,8398.0,45.5,1
Motacilla cinerea CRESS-DNA-virus sp.,,Motacilla cinerea CRESS-DNA-virus sp.,,,,
Motacilla cinerea Circoviridae sp.,,Motacilla cinerea Circoviridae sp.,,,,
Motacilla cinerea parvo-like hybrid virus,,Motacilla cinerea parvo-like hybrid virus,,,,
Motacilla cinerea parvoviridae sp.,,Motacilla cinerea parvoviridae sp.,,,,
Mott virus,0,Mott virus,,,,
Mudlarkpox virus,,Mudlarkpox virus,GCA_031242895.1,342723.0,30,
Munia coronavirus HKU13,GCF_000880835.1,Munia coronavirus HKU13,GCF_000880835.1,26552.0,42.5,9
Murine mastadenovirus B,0,Murine mastadenovirus B,,,,
Muscicapa latirostris CRESS-DNA-virus sp.,,Muscicapa latirostris CRESS-DNA-virus sp.,,,,
Mute swan associated circo-like virus,,Mute swan associated circo-like virus,,,,
Mute swan feces associated avastrovius 1,,Mute swan feces associated avastrovius 1,,,,
Mute swan feces associated avastrovius 2,,Mute swan feces associated avastrovius 2,,,,
Mute swan feces associated aveparvovirus,,Mute swan feces associated aveparvovirus,,,,
Mute swan feces associated avihepatovirus,,Mute swan feces associated avihepatovirus,,,,
Mute swan feces associated calicivirus,,Mute swan feces associated calicivirus,,,,
Mute swan feces associated chapparvovirus 1,,Mute swan feces associated chapparvovirus 1,,,,
Mute swan feces associated chapparvovirus 2,,Mute swan feces associated chapparvovirus 2,,,,
Mute swan feces associated chapparvovirus 3,,Mute swan feces associated chapparvovirus 3,,,,
Mute swan feces associated chapparvovirus 4,,Mute swan feces associated chapparvovirus 4,,,,
Mute swan feces associated chapparvovirus 5,,Mute swan feces associated chapparvovirus 5,,,,
Mute swan feces associated chapparvovirus 6,,Mute swan feces associated chapparvovirus 6,,,,
Mute swan feces associated circular virus 1,,Mute swan feces associated circular virus 1,,,,
Mute swan feces associated circular virus 10,,Mute swan feces associated circular virus 10,,,,
Mute swan feces associated circular virus 11,,Mute swan feces associated circular virus 11,,,,
Mute swan feces associated circular virus 12,,Mute swan feces associated circular virus 12,,,,
Mute swan feces associated circular virus 13,,Mute swan feces associated circular virus 13,,,,
Mute swan feces associated circular virus 14,,Mute swan feces associated circular virus 14,,,,
Mute swan feces associated circular virus 15,,Mute swan feces associated circular virus 15,,,,
Mute swan feces associated circular virus 16,,Mute swan feces associated circular virus 16,,,,
Mute swan feces associated circular virus 17,,Mute swan feces associated circular virus 17,,,,
Mute swan feces associated circular virus 2,,Mute swan feces associated circular virus 2,,,,
Mute swan feces associated circular virus 3,,Mute swan feces associated circular virus 3,,,,
Mute swan feces associated circular virus 4,,Mute swan feces associated circular virus 4,,,,
Mute swan feces associated circular virus 5,,Mute swan feces associated circular virus 5,,,,
Mute swan feces associated circular virus 6,,Mute swan feces associated circular virus 6,,,,
Mute swan feces associated circular virus 7,,Mute swan feces associated circular virus 7,,,,
Mute swan feces associated circular virus 8,,Mute swan feces associated circular virus 8,,,,
Mute swan feces associated circular virus 9,,Mute swan feces associated circular virus 9,,,,
Mute swan feces associated gammacoronavirus,,Mute swan feces associated gammacoronavirus,,,,
Mute swan feces associated gemycircularvirus 1,,Mute swan feces associated gemycircularvirus 1,,,,
Mute swan feces associated hepatovirus 1,,Mute swan feces associated hepatovirus 1,,,,
Mute swan feces associated hepatovirus 2,,Mute swan feces associated hepatovirus 2,,,,
Mute swan feces associated hepatovirus 3,,Mute swan feces associated hepatovirus 3,,,,
Mute swan feces associated hepatovirus 4,,Mute swan feces associated hepatovirus 4,,,,
Mute swan feces associated noda-like virus 1,,Mute swan feces associated noda-like virus 1,,,,
Mute swan feces associated noda-like virus 2,,Mute swan feces associated noda-like virus 2,,,,
Mute swan feces associated noda-like virus 3,,Mute swan feces associated noda-like virus 3,,,,
Mute swan feces associated noda-like virus 4,,Mute swan feces associated noda-like virus 4,,,,
Mute swan feces associated noda-like virus 5,,Mute swan feces associated noda-like virus 5,,,,
Mute swan feces associated noda-like virus 6,,Mute swan feces associated noda-like virus 6,,,,
Mute swan feces associated noda-like virus 7,,Mute swan feces associated noda-like virus 7,,,,
Mute swan feces associated noda-like virus 8,,Mute swan feces associated noda-like virus 8,,,,
Mute swan feces associated noda-like virus 9,,Mute swan feces associated noda-like virus 9,,,,
Mute swan feces associated partitiviridae 1,,Mute swan feces associated partitiviridae 1,,,,
Mute swan feces associated partitiviridae A,,Mute swan feces associated partitiviridae A,,,,
Mute swan feces associated partitiviridae B,,Mute swan feces associated partitiviridae B,,,,
Mute swan feces associated partitiviridae C,,Mute swan feces associated partitiviridae C,,,,
Mute swan feces associated partitiviridae D,,Mute swan feces associated partitiviridae D,,,,
Mute swan feces associated partitiviridae E,,Mute swan feces associated partitiviridae E,,,,
Mute swan feces associated partitiviridae F,,Mute swan feces associated partitiviridae F,,,,
Mute swan feces associated partitiviridae G,,Mute swan feces associated partitiviridae G,,,,
Mute swan feces associated partitiviridae H,,Mute swan feces associated partitiviridae H,,,,
Mute swan feces associated partitiviridae I,,Mute swan feces associated partitiviridae I,,,,
Mute swan feces associated partitiviridae J,,Mute swan feces associated partitiviridae J,,,,
Mute swan feces associated partitiviridae K,,Mute swan feces associated partitiviridae K,,,,
Mute swan feces associated partitiviridae L,,Mute swan feces associated partitiviridae L,,,,
Mute swan feces associated partitiviridae M,,Mute swan feces associated partitiviridae M,,,,
Mute swan feces associated partitiviridae N,,Mute swan feces associated partitiviridae N,,,,
Mute swan feces associated partitiviridae O,,Mute swan feces associated partitiviridae O,,,,
Mute swan feces associated picobirnavirus 1,,Mute swan feces associated picobirnavirus 1,,,,
Mute swan feces associated picobirnavirus 2,,Mute swan feces associated picobirnavirus 2,,,,
Mute swan feces associated picobirnavirus 3,,Mute swan feces associated picobirnavirus 3,,,,
Mute swan feces associated picobirnavirus A,,Mute swan feces associated picobirnavirus A,,,,
Mute swan feces associated picobirnavirus B,,Mute swan feces associated picobirnavirus B,,,,
Mute swan feces associated picorna-like virus 1,,Mute swan feces associated picorna-like virus 1,,,,
Mute swan feces associated picorna-like virus 10,,Mute swan feces associated picorna-like virus 10,,,,
Mute swan feces associated picorna-like virus 11,,Mute swan feces associated picorna-like virus 11,,,,
Mute swan feces associated picorna-like virus 12,,Mute swan feces associated picorna-like virus 12,,,,
Mute swan feces associated picorna-like virus 13,,Mute swan feces associated picorna-like virus 13,,,,
Mute swan feces associated picorna-like virus 14,,Mute swan feces associated picorna-like virus 14,,,,
Mute swan feces associated picorna-like virus 15,,Mute swan feces associated picorna-like virus 15,,,,
Mute swan feces associated picorna-like virus 16,,Mute swan feces associated picorna-like virus 16,,,,
Mute swan feces associated picorna-like virus 17,,Mute swan feces associated picorna-like virus 17,,,,
Mute swan feces associated picorna-like virus 18,,Mute swan feces associated picorna-like virus 18,,,,
Mute swan feces associated picorna-like virus 19,,Mute swan feces associated picorna-like virus 19,,,,
Mute swan feces associated picorna-like virus 2,,Mute swan feces associated picorna-like virus 2,,,,
Mute swan feces associated picorna-like virus 20,,Mute swan feces associated picorna-like virus 20,,,,
Mute swan feces associated picorna-like virus 21,,Mute swan feces associated picorna-like virus 21,,,,
Mute swan feces associated picorna-like virus 22,,Mute swan feces associated picorna-like virus 22,,,,
Mute swan feces associated picorna-like virus 23,,Mute swan feces associated picorna-like virus 23,,,,
Mute swan feces associated picorna-like virus 24,,Mute swan feces associated picorna-like virus 24,,,,
Mute swan feces associated picorna-like virus 25,,Mute swan feces associated picorna-like virus 25,,,,
Mute swan feces associated picorna-like virus 26,,Mute swan feces associated picorna-like virus 26,,,,
Mute swan feces associated picorna-like virus 27,,Mute swan feces associated picorna-like virus 27,,,,
Mute swan feces associated picorna-like virus 28,,Mute swan feces associated picorna-like virus 28,,,,
Mute swan feces associated picorna-like virus 29,,Mute swan feces associated picorna-like virus 29,,,,
Mute swan feces associated picorna-like virus 3,,Mute swan feces associated picorna-like virus 3,,,,
Mute swan feces associated picorna-like virus 4,,Mute swan feces associated picorna-like virus 4,,,,
Mute swan feces associated picorna-like virus 5,,Mute swan feces associated picorna-like virus 5,,,,
Mute swan feces associated picorna-like virus 6,,Mute swan feces associated picorna-like virus 6,,,,
Mute swan feces associated picorna-like virus 7,,Mute swan feces associated picorna-like virus 7,,,,
Mute swan feces associated picorna-like virus 8,,Mute swan feces associated picorna-like virus 8,,,,
Mute swan feces associated picorna-like virus 9,,Mute swan feces associated picorna-like virus 9,,,,
Mute swan feces associated sapelovirus 1,,Mute swan feces associated sapelovirus 1,,,,
Mute swan feces associated sapelovirus 2,,Mute swan feces associated sapelovirus 2,,,,
Mute swan feces associated sapelovirus 3,,Mute swan feces associated sapelovirus 3,,,,
Mute swan feces associated toti-like virus 1,,Mute swan feces associated toti-like virus 1,,,,
Mute swan feces associated toti-like virus 2,,Mute swan feces associated toti-like virus 2,,,,
Mute swan feces associated toti-like virus 3,,Mute swan feces associated toti-like virus 3,,,,
Myna aviadenovirus,,Myna aviadenovirus,,,,
Myna calicivirus,,Myna calicivirus,,,,
Myna chaphamaparvovirus,,Myna chaphamaparvovirus,,,,
Myna hepatovirus,,Myna hepatovirus,,,,
Myna siadenovirus,,Myna siadenovirus,,,,
Mynah circovirus,,Mynah circovirus,,,,
Nacovirus A,GCF_004786995.1,Nacovirus A,GCF_004786995.1,7656.0,50,2
Nandayus nenday CRESS-DNA-virus sp.,,Nandayus nenday CRESS-DNA-virus sp.,,,,
Nandayus nenday Chaphamaparvovirus,,Nandayus nenday Chaphamaparvovirus,,,,
Nandayus nenday parvoviridae sp.,,Nandayus nenday parvoviridae sp.,,,,
Nauglamirvirus anduin,GCF_023131745.1,Nauglamirvirus anduin,GCF_023131745.1,1970.0,34,2
Navarro virus,0,Navarro virus,,,,
Neoavian orthoreovirus,0,Neoavian orthoreovirus,,,,
Neotropic cormorant aviadenovirus,0,Neotropic cormorant aviadenovirus,,,,
Neotropic cormorant herpesvirus,0,Neotropic cormorant herpesvirus,,,,
Netherby virus,,Netherby virus,,,,
Neva virus,,Neva virus,,,,
Night heron coronavirus HKU19,GCF_000896035.1,Night heron coronavirus HKU19,GCF_000896035.1,26077.0,38,8
Nodaviridae sp.,,Nodaviridae sp.,GCA_030027915.1,3205.0,51.5,
Nordenskjold virus,0,Nordenskjold virus,,,,
Norwalk virus,0,Norwalk virus,,,,
Nyavirus nyamaniniense,,Nyavirus nyamaniniense,GCF_000882955.1,11631.0,52.5,6
Nyavirus sanjacintoense,GCF_018587265.1,Nyavirus sanjacintoense,GCF_018587265.1,13295.0,51.5,7
Nyavirus somateriae,GCF_023131265.1,Nyavirus somateriae,GCF_023131265.1,12659.0,48,8
O'Leary virus,0,O'Leary virus,,,,
Oates virus,0,Oates virus,,,,
Onychoprion fuscatus alphaherpesvirus 1,0,Onychoprion fuscatus alphaherpesvirus 1,,,,
Oriental turtle dovepox virus,,Oriental turtle dovepox virus,,,,
Oriolus adenovirus,,Oriolus adenovirus,,,,
Orivirus A,GCF_000926835.1,Orivirus A,GCF_000926835.1,7037.0,50,1
Orthoavulavirus borisense,GCF_003032685.1,Orthoavulavirus borisense,GCF_003032685.1,14926.0,46,6
Orthoavulavirus italiense,GCF_000927075.1,Orthoavulavirus italiense,GCF_000927075.1,15312.0,45,6
Orthoavulavirus japanense,GCF_001654405.1,Orthoavulavirus japanense,GCF_001654405.1,16146.0,42.5,6
Orthoavulavirus javaense,GCF_002834085.1,Orthoavulavirus javaense,GCF_002834085.1,15192.0,47,6
Orthoavulavirus kopaiticense,GCF_003032695.1,Orthoavulavirus kopaiticense,GCF_003032695.1,14931.0,50,6
Orthoavulavirus koreaense,,Orthoavulavirus koreaense,,,,
Orthoavulavirus newyorkense,GCF_000926655.1,Orthoavulavirus newyorkense,GCF_000926655.1,15438.0,44.5,6
Orthoavulavirus oneillense,GCF_003032705.1,Orthoavulavirus oneillense,GCF_003032705.1,15017.0,50,6
Orthoavulavirus sp.,,Orthoavulavirus sp.,,,,
Orthoavulavirus upoense,GCF_003032675.1,Orthoavulavirus upoense,GCF_003032675.1,15180.0,44.5,6
Orthobornavirus alphapsittaciforme,GCF_002815075.1,Orthobornavirus alphapsittaciforme,GCF_002815075.1,8902.0,42.5,6
Orthobornavirus avisaquaticae,GCF_001589995.2,Orthobornavirus avisaquaticae,GCF_001589995.2,8904.0,41,6
Orthobornavirus betapsittaciforme,GCF_002815095.1,Orthobornavirus betapsittaciforme,GCF_002815095.1,8973.0,43,6
Orthobornavirus bornaense,0,Orthobornavirus bornaense,,,,
Orthobornavirus estrildidae,GCF_002815055.1,Orthobornavirus estrildidae,GCF_002815055.1,5572.0,43,6
Orthobornavirus serini,GCF_001305565.3,Orthobornavirus serini,GCF_001305565.3,8930.0,41,6
Orthobunyavirus balagoduense,GCF_029887365.1,Orthobunyavirus balagoduense,GCF_029887365.1,12557.0,36.5,3
Orthobunyavirus bataiense,,Orthobunyavirus bataiense,,,,
Orthobunyavirus batamaense,GCF_029887665.1,Orthobunyavirus batamaense,GCF_029887665.1,12447.0,36.5,3
Orthobunyavirus bobayaense,GCF_029888205.1,Orthobunyavirus bobayaense,GCF_029888205.1,12536.0,36,3
Orthobunyavirus bunyamweraense,,Orthobunyavirus bunyamweraense,,,,
Orthobunyavirus gamboaense,0,Orthobunyavirus gamboaense,,,,
Orthobunyavirus ingwavumaense,GCF_004789635.1,Orthobunyavirus ingwavumaense,GCF_004789635.1,12388.0,36.5,3
Orthobunyavirus manzanillaense,,Orthobunyavirus manzanillaense,,,,
Orthobunyavirus matruhense,GCF_009731935.1,Orthobunyavirus matruhense,GCF_009731935.1,12220.0,36.5,3
Orthobunyavirus mermetense,GCF_004789655.1,Orthobunyavirus mermetense,GCF_004789655.1,12332.0,36,3
Orthobunyavirus sedlecense,GCF_018594955.1,Orthobunyavirus sedlecense,GCF_018594955.1,12532.0,36,4
Orthobunyavirus teteense,GCF_002814395.1,Orthobunyavirus teteense,GCF_002814395.1,12187.0,37,3
Orthobunyavirus thimiriense,GCF_006297945.1,Orthobunyavirus thimiriense,GCF_006297945.1,12418.0,36.5,4
Orthoflavivirus bagazaense,,Orthoflavivirus bagazaense,,,,
Orthoflavivirus cacipacoreense,GCF_000954535.1,Orthoflavivirus cacipacoreense,GCF_000954535.1,10284.0,49.5,1
Orthoflavivirus encephalitidis,,Orthoflavivirus encephalitidis,,,,
Orthoflavivirus israelense,0,Orthoflavivirus israelense,,,,
Orthoflavivirus japonicum,,Orthoflavivirus japonicum,,,,
Orthoflavivirus louisense,0,Orthoflavivirus louisense,,,,
Orthoflavivirus loupingi,0,Orthoflavivirus loupingi,,,,
Orthoflavivirus nilense,,Orthoflavivirus nilense,,,,
Orthoflavivirus powassanense,0,Orthoflavivirus powassanense,,,,
Orthoflavivirus saumarezense,,Orthoflavivirus saumarezense,,,,
Orthoflavivirus tembusu,GCF_000894755.1,Orthoflavivirus tembusu,GCF_000894755.1,10990.0,49,1
Orthoflavivirus usutuense,,Orthoflavivirus usutuense,,,,
Orthoflavivirus wesselsbronense,,Orthoflavivirus wesselsbronense,,,,
Orthonairovirus abuhammadense,GCF_014883235.1,Orthonairovirus abuhammadense,GCF_014883235.1,18596.0,42.5,3
Orthonairovirus abuminaense,GCF_014883245.1,Orthonairovirus abuminaense,GCF_014883245.1,18416.0,41.5,3
Orthonairovirus bushkeyense,0,Orthonairovirus bushkeyense,,,,
Orthonairovirus tunisense,GCF_004128175.1,Orthonairovirus tunisense,GCF_004128175.1,18977.0,41.5,3
Orthoreovirus sp.,,Orthoreovirus sp.,,,,
Oscivirus A,GCF_000887535.1,Oscivirus A,GCF_000887535.1,7641.0,47,1
Ostrekin virus,0,Ostrekin virus,,,,
